conditionId,question,first_side,time_gap_sec,n_buys,n_yes_buys,n_no_buys,side_switches,switch_rate
0x007d4b0cb9d1852c60546d5a2bf4771a54602335685f377f215194f223ccde4a,"Bitcoin Up or Down - February 12, 9:10PM-9:15PM ET",No,86,7,2,5,1,0.16666666666666666
0x021a507688edbab1e3a0a0bd287ae29517b321f7d95fc88fae6a2427bb0604f0,"Bitcoin Up or Down - February 12, 8:45PM-8:50PM ET",Yes,60,17,14,3,1,0.0625
0x0262adc0b35c27c7b5d00211833a131066bf9c75a07be1b5b6eefe13c089b91a,"Bitcoin Up or Down - February 13, 12AM ET",Yes,200,41,20,21,11,0.275
0x037d52fc1bb3a7ec55817a69c2890a014c1c996de9b88c2b117621a69fecea5f,"Ethereum Up or Down - February 12, 10:45PM-11:00PM ET",Yes,30,24,15,9,6,0.2608695652173913
0x03a51e76fa4244afa81783c95342ecc454adba295e3cc0cd6ee1682a984ed4a0,"Bitcoin Up or Down - February 12, 11:05PM-11:10PM ET",No,42,14,6,8,2,0.15384615384615385
0x045c2b42162c80eea56e3a2b7315ac53f2de4f27d7ab707082b12acfd7e79712,"Bitcoin Up or Down - February 13, 1:30AM-1:35AM ET",No,120,13,2,11,1,0.08333333333333333
0x04a702ae3250972991f74be2ec2440806a100d3f6dfaf6a89c5a8e19859adfa0,"Bitcoin Up or Down - February 13, 3:35AM-3:40AM ET",No,46,10,3,7,3,0.3333333333333333
0x0507338d275158305f42f52e9ab6a6e7095bab8f40d1ad82ec37520367e0884f,"Bitcoin Up or Down - February 12, 9:45PM-9:50PM ET",No,28,25,7,18,9,0.375
0x06cf51eb4111f84cbdca48c989bfd126028d74ea1d0e5b17429cea07adc4a154,"Bitcoin Up or Down - February 12, 11:15PM-11:30PM ET",Yes,148,16,10,6,4,0.26666666666666666
0x096ed3f10259b3dd2fc1f15c404ff0ad5d3be959f96e2283a6f3b88ef1811876,"Bitcoin Up or Down - February 12, 9:30PM-9:35PM ET",Yes,56,18,11,7,6,0.35294117647058826
0x0b217a9fe8088a51e66a04abe2eaf972fed07491356bfd5c51e8ed012449cdd9,"Ethereum Up or Down - February 12, 11PM ET",Yes,820,27,22,5,4,0.15384615384615385
0x0d42957f5d5bba282277ac7cf1ae80b958a2c27bd61f964dfd7ff0704b360d91,"Bitcoin Up or Down - February 13, 1:25AM-1:30AM ET",Yes,8,23,9,14,6,0.2727272727272727
0x0e1b703a170b1f8133e77094884038b25655282aac03cf2c0a699be2e9263533,"Bitcoin Up or Down - February 12, 10:00PM-10:05PM ET",Yes,12,4,2,2,2,0.6666666666666666
0x1349f2ede12f30963fca61bb7900cc9a0adbbeae15ba3d91d9731de358787602,"Ethereum Up or Down - February 13, 12AM ET",No,290,29,24,5,7,0.25
0x14a6df6f5b523abc848fbd3a01f80c90c7bb03e003b2f4d8900178e1c8a96a7d,"Bitcoin Up or Down - February 13, 2:15AM-2:30AM ET",No,14,15,12,3,3,0.21428571428571427
0x167922c33de6fbf06b4281e56766a3933788d110f21c6c503f9bc7255c5216c2,"Bitcoin Up or Down - February 13, 3:15AM-3:20AM ET",Yes,36,8,3,5,3,0.42857142857142855
0x17ad78ca730d2d7e5d7bb53c754ef9bf7218a51f73dd164585f56bf55029572a,"Bitcoin Up or Down - February 13, 2:35AM-2:40AM ET",No,4,11,3,8,2,0.2
0x1c943cffbe2d08bd545f793e573ff204ba5b22e4ad2b93fec000756cc1e4033c,"Ethereum Up or Down - February 12, 9:30PM-9:45PM ET",Yes,44,18,12,6,3,0.17647058823529413
0x1e795d284498751b7977f2db43ae58e60cfb28a65c77e577bbb20d9b815ac6ca,"Ethereum Up or Down - February 12, 10:00PM-10:15PM ET",Yes,102,14,9,5,4,0.3076923076923077
0x1ecad00d1aa394f2ac5175135a8c27b36990006f576d3f5c0b8a799129c8bdd8,"Bitcoin Up or Down - February 12, 10:40PM-10:45PM ET",No,104,17,11,6,1,0.0625
0x1f813b0cff75b3531770b28342f42456753e3df8f1ce99928850a448ad6328a6,"Ethereum Up or Down - February 13, 1AM ET",Yes,1312,51,42,9,8,0.16
0x22591d8fa7de00d6045d932d57b5e8d17805ae706d996e9f7ccdc4807f22ae67,"Bitcoin Up or Down - February 13, 3:00AM-3:05AM ET",Yes,26,2,1,1,1,1.0
0x2284c6366cf5f76c95e633bae381db55baa84812e882d5eddeb148c38b0e4e56,"Bitcoin Up or Down - February 12, 11:45PM-11:50PM ET",Yes,52,10,4,6,2,0.2222222222222222
0x25886cce7949de1cc8117a2ff29690ccc52fd0f8f8c69b47f642b5b2485363b9,"Ethereum Up or Down - February 13, 3AM ET",Yes,1352,11,6,5,1,0.1
0x28097b05aa1a30909e8c17ba5078f598b0b0d98158cf61c16eed1ea177537c2f,"Bitcoin Up or Down - February 12, 8:30PM-8:35PM ET",Yes,14,14,11,3,3,0.23076923076923078
0x287c2b592cdfcac870401c77dc0b85610cb57c9a3f64bacb953f172b1e5c96a7,"Ethereum Up or Down - February 13, 2:45AM-3:00AM ET",Yes,50,22,10,12,3,0.14285714285714285
0x2a534346aadbd86467bd9bb0ecf960e5347add24c294dcdfe58d299f54e1c7d8,"Bitcoin Up or Down - February 13, 1:05AM-1:10AM ET",Yes,0,26,23,3,4,0.16
0x2b8aae97087f725757190ffecc0308e367ec040144391edd19e2e8320d6421ad,"Bitcoin Up or Down - February 13, 12:45AM-12:50AM ET",Yes,96,19,10,9,5,0.2777777777777778
0x2bdc46200e7647595d2e8d85c80887d1a29f7dc0db52aa7da165c772a413fd3e,"Bitcoin Up or Down - February 12, 8:45PM-9:00PM ET",Yes,10,42,23,19,6,0.14634146341463414
0x2d53648c2e9d3f323e97a0c390cfc12c687079eb1d3fb3d471f8246bf4a0e302,"Solana Up or Down - February 13, 12AM ET",Yes,1900,47,28,19,13,0.2826086956521739
0x30359b5c63c59638577c91ce584bf39cfa41619e930c67c56e7fbe1039a174f9,"Ethereum Up or Down - February 12, 10:30PM-10:45PM ET",Yes,2,74,31,43,15,0.2054794520547945
0x3362a78f41abbabcff24c34dac3cdf999e6424faf2722c316b5bac24adfcf175,"XRP Up or Down - February 12, 9PM ET",No,276,8,1,7,2,0.2857142857142857
0x35129e7ee024af7040f030556522db6c1f38480c165f97702a78cee95310b41b,"Bitcoin Up or Down - February 12, 11:30PM-11:45PM ET",No,20,24,11,13,6,0.2608695652173913
0x37bba2c869687c57019d0c21512f1e209af760acbecd0b463a641ce5d7054505,"Bitcoin Up or Down - February 13, 1:30AM-1:45AM ET",No,10,17,2,15,3,0.1875
0x3beee638d2c0571c8e14f749fb7307b6675f50208c8edecd0168b11a7de5a5a4,"Bitcoin Up or Down - February 13, 2:45AM-3:00AM ET",Yes,38,37,13,24,9,0.25
0x3eef4e353a0c15d9ce40ce72be91bae912b98a63cd0b68180ae0d76de32d1684,"Bitcoin Up or Down - February 13, 1AM ET",Yes,1380,58,28,30,15,0.2631578947368421
0x440c9b41d52dc939b64d8e53950309d37773bfea69f173ab41b8167b4f0f7a73,"Bitcoin Up or Down - February 12, 10:20PM-10:25PM ET",No,92,15,1,14,2,0.14285714285714285
0x467beb59ae402b3a7dd6a6758a4f00e8a3e05125a2f2a4a1c6e1f727ec01d499,"Bitcoin Up or Down - February 12, 9:05PM-9:10PM ET",No,74,12,4,8,1,0.09090909090909091
0x46de09171efabc116de5cb944f014790526608535c6755e427e707e76dd6f0ea,"Bitcoin Up or Down - February 13, 3:20AM-3:25AM ET",Yes,10,7,5,2,2,0.3333333333333333
0x479e8d56aa08988c6f1b88d01160625ac342a08552145cd672efd33a61091f7e,"Bitcoin Up or Down - February 12, 10:30PM-10:45PM ET",Yes,38,57,28,29,10,0.17857142857142858
0x4923a55682907be7bbb276eaa038b4c5f731fbafa52376bdf7ac7b2d52e3e6b5,"Bitcoin Up or Down - February 12, 10:45PM-10:50PM ET",Yes,28,11,5,6,1,0.1
0x4ae24fa24bbf924eac47de7bd8c2ea593f3c09c660d4b60f0a464351d7b3400b,"Bitcoin Up or Down - February 13, 3:15AM-3:30AM ET",No,120,17,6,11,4,0.25
0x4c5bd69e9ffaf81f3582cee416b41028894c0d566d6ff96f1fb98a431c8d60c2,"Bitcoin Up or Down - February 13, 12:55AM-1:00AM ET",No,90,9,1,8,2,0.25
0x4da2b287d2acd0c7b4428fd6ec92b328b0600d4e245db7f3a4334cf232886be0,"Solana Up or Down - February 13, 2AM ET",Yes,136,29,14,15,15,0.5357142857142857
0x4dc485d6d05b12f92a053ae6f9a99aadc1757da23d02d26be3789e426bad33a5,"Bitcoin Up or Down - February 12, 8:25PM-8:30PM ET",No,52,19,5,14,2,0.1111111111111111
0x4e3ac7cd0a9830c2fd52be3e1e7e79f1466aa7207f95717ec98ccad33666fbe0,"Bitcoin Up or Down - February 13, 2AM ET",Yes,334,30,16,14,8,0.27586206896551724
0x4fee2465b60318e23e6d2ad0ac0b0c347ee86866c989f09042b3071f941934ac,"Ethereum Up or Down - February 13, 1:30AM-1:45AM ET",No,224,51,23,28,3,0.06
0x506fffb328e7632a3847927619d7235d8b291fdb1e8b801bb68cf653a345c26e,"Ethereum Up or Down - February 13, 12:45AM-1:00AM ET",Yes,22,11,5,6,1,0.1
0x554301a06e6201194af91cda3f9f528452550e629c33defda78ac48acae78157,"Bitcoin Up or Down - February 12, 10:10PM-10:15PM ET",Yes,8,10,8,2,2,0.2222222222222222
0x56166e99349f6fc03bd0795b479571e4dd89ad7ba77219004db44241258b872d,"Solana Up or Down - February 12, 9PM ET",No,270,65,23,42,18,0.28125
0x591e7f839606e9611f90723f9055eaca52026665696c2fb1d458afa208c1f6a6,"Bitcoin Up or Down - February 12, 10PM ET",Yes,84,47,26,21,10,0.21739130434782608
0x5a40a6cb1b928b0528d992d34a6022cae13fcf745de10dee4d2b7ea333d8e3d1,"Bitcoin Up or Down - February 13, 1:00AM-1:15AM ET",Yes,48,14,8,6,4,0.3076923076923077
0x5e1bd55e16408fc62950f04825f501845e4f493d56dc58074482d9c587615867,"Bitcoin Up or Down - February 13, 12:45AM-1:00AM ET",Yes,62,24,15,9,4,0.17391304347826086
0x6191129cb10edf987b1bb53a835a50805053d649988bc9f5777e4a60f2205a19,"Bitcoin Up or Down - February 13, 3:40AM-3:45AM ET",Yes,66,7,6,1,1,0.16666666666666666
0x66580f82f129832cd422e0c946727d36f94d0448b223d89cda184998a24d6a3c,"Bitcoin Up or Down - February 12, 11:25PM-11:30PM ET",No,28,15,9,6,3,0.21428571428571427
0x66c41f4fc12bf239e0a5209c035dda8ef0ddddb07e0d88f74f97514afb985ad3,"Ethereum Up or Down - February 13, 12:15AM-12:30AM ET",Yes,18,26,6,20,3,0.12
0x6709f67f5b3752a278381975c6bdfe000b2aa65b7abf6e622cc72490419cce28,"Ethereum Up or Down - February 13, 1:00AM-1:15AM ET",No,8,15,6,9,4,0.2857142857142857
0x6896f7922ba555c8a7d2e2750e587138ecb544f4eb114ef32fbf7b3bf46cc71d,"Bitcoin Up or Down - February 13, 1:10AM-1:15AM ET",No,38,17,6,11,2,0.125
0x69b898739b4aa5cab4593f3e29bfabdb03779fa3320c578e3cf3c4ce70c9c2d1,"Bitcoin Up or Down - February 12, 11:40PM-11:45PM ET",No,90,7,3,4,2,0.3333333333333333
0x69dbfb5b506bbc7a513c1d564e0f736ec1217c41359e26e2d6b138121d79b2a7,"Solana Up or Down - February 12, 10PM ET",Yes,78,53,27,26,14,0.2692307692307692
0x6d142587e597b79c33bac06c91c4f44291010b657ae21c04db90ccb3af5bfb75,"Solana Up or Down - February 12, 8PM ET",Yes,224,8,5,3,3,0.42857142857142855
0x6e02ceb12ab1e02e384459c63fbf78a1aab471956e936b168a0d842e797ef927,"Bitcoin Up or Down - February 13, 1:00AM-1:05AM ET",Yes,52,27,14,13,3,0.11538461538461539
0x6f9a3ae61a94617d46be0e2bcb3e1e0ea133380bb933c6bbf545c51ffb6ffba1,"Bitcoin Up or Down - February 13, 1:15AM-1:30AM ET",Yes,132,30,15,15,4,0.13793103448275862
0x74dcc2b5b15c58db39ee6a52ae61ba6f9064f7b15f384cf75abd61367708ee1d,"Ethereum Up or Down - February 13, 1:45AM-2:00AM ET",No,56,17,9,8,2,0.125
0x75419f59c419b98b5926881eb099c4aa55ca968cad5101db096e7176c44f2714,"Bitcoin Up or Down - February 12, 8:50PM-8:55PM ET",Yes,30,4,2,2,2,0.6666666666666666
0x75e80c74c16c4c08982299a5be800fe7161a14ba70e3c3e51da8f551e17b46d2,"Bitcoin Up or Down - February 12, 10:55PM-11:00PM ET",No,14,12,4,8,3,0.2727272727272727
0x75f9b757f208c208914190d6b196cbc0cae7a214caaab35f07b3c4d7cedbc626,"XRP Up or Down - February 13, 1AM ET",No,422,54,31,23,13,0.24528301886792453
0x7904ec530e259201365d9c094b3000e891efa1b125e4219de53e502bc0c6bfa0,"Ethereum Up or Down - February 13, 2:15AM-2:30AM ET",No,10,16,7,9,3,0.2
0x7e30ddfba31f5b6dfbc344c34be27740bd61c56cc7802b71131a3d1ee178b9d2,"Bitcoin Up or Down - February 13, 12:20AM-12:25AM ET",Yes,48,9,6,3,2,0.25
0x7f44767740d816c5ce81cd79b6a76c6b7138fdfc713fb8e4aaed810029dae194,"Ethereum Up or Down - February 12, 11:00PM-11:15PM ET",Yes,16,16,10,6,4,0.26666666666666666
0x7fce2da3f9ae66fef6785f0dd788b83ebdcd1a909bc29df50e2cfe4889d5e546,"Ethereum Up or Down - February 12, 8:45PM-9:00PM ET",Yes,58,34,14,20,9,0.2727272727272727
0x80f517f253e045340a5abb619abe269cea76f164d4767b4f5cbe5ff02ea0f89f,"Bitcoin Up or Down - February 12, 9:50PM-9:55PM ET",Yes,194,8,7,1,1,0.14285714285714285
0x81045cb4766dc733fd38aaf541e2444afd23a49a90254b9fa7382812b7055fc4,"Bitcoin Up or Down - February 13, 2:00AM-2:15AM ET",No,12,41,18,23,6,0.15
0x89c56afa2d5c82bb30a57563f37e4171de51d8c4121a9a06ad9ca0ffc6b4de78,"Ethereum Up or Down - February 13, 3:30AM-3:45AM ET",Yes,118,28,17,11,5,0.18518518518518517
0x8b5d0f8304291c2703414bda0563ca98ec3f935a0df9b59b0a2543033c2ba087,"Bitcoin Up or Down - February 13, 3:25AM-3:30AM ET",Yes,164,13,9,4,1,0.08333333333333333
0x8d2ae6db2f50ff40f6600041e5e69261836acdc5e275788272878d073d21e5aa,"Ethereum Up or Down - February 12, 10PM ET",Yes,52,20,3,17,3,0.15789473684210525
