conditionId,question,first_side,time_gap_sec,n_buys,n_yes_buys,n_no_buys,side_switches,switch_rate
0x8d2df65bd55135c16f772132dc4e01b6a7281d19ad6c7851ac244a02047d0b89,"Bitcoin Up or Down - February 12, 9:30PM-9:45PM ET",Yes,6,24,14,10,11,0.4782608695652174
0x90fee6a186fc01928c13b1c98be08463ebb22af5589326287542dd3af4c19639,"Bitcoin Up or Down - February 13, 12:15AM-12:30AM ET",Yes,20,12,5,7,1,0.09090909090909091
0x935751c970bcb047d0b881f64f4acfae77d1123a6046c362526d1da7552a39d9,"XRP Up or Down - February 12, 11PM ET",No,266,18,13,5,5,0.29411764705882354
0x94a5afdfee0373af75edc7be11c35aac2cd8ab6e5904d207f400690221dfebe4,"Ethereum Up or Down - February 12, 8:30PM-8:45PM ET",Yes,2,15,9,6,3,0.21428571428571427
0x95161e1f391213ebf4478cbf05df7c079b29b7bf0e5b97a920a6fd2a8de87f6c,"Ethereum Up or Down - February 13, 3:00AM-3:15AM ET",Yes,66,18,12,6,5,0.29411764705882354
0x962ab71aae049261347cc0a64620be33f031ded13af8e4c17181da4bed6ade7e,"XRP Up or Down - February 13, 12AM ET",Yes,1498,46,29,17,19,0.4222222222222222
0x98040c1ba4e9f156f9d3d8668d0f815b190fcba573db17e3b31911d34ef4e421,"Bitcoin Up or Down - February 13, 1:20AM-1:25AM ET",Yes,162,16,9,7,1,0.06666666666666667
0x9928c77bfd0f96e0b0761c8161fafcc85b67aee5c5ec92347df65a6635cb4a1a,"Bitcoin Up or Down - February 12, 10:30PM-10:35PM ET",Yes,14,18,13,5,4,0.23529411764705882
0x996ce3cb3fe2b585e93ad484e7263f396b19432e8c5b92f3972cb42878e327f4,"Ethereum Up or Down - February 13, 2AM ET",Yes,1828,45,23,22,7,0.1590909090909091
0x99cc964043a4a32330ef05597b93c5c6568c765e6ccbb47f6066e824445ca75d,"Bitcoin Up or Down - February 13, 12:35AM-12:40AM ET",Yes,158,11,9,2,1,0.1
0x9af927eb92dc7de0d62b0d16893c817fd06a570791ede44ed48dc8bc4aa44156,"Bitcoin Up or Down - February 12, 10:25PM-10:30PM ET",Yes,20,18,13,5,2,0.11764705882352941
0x9da508aaadbb5fcd3e573271a78d8f44305cbd8823542f260fc6a39373be990b,"Bitcoin Up or Down - February 12, 8:40PM-8:45PM ET",Yes,58,15,14,1,2,0.14285714285714285
0x9db7f427af3effbd71a6b6ad9d684cb6e2a98b507d729e06abe8e79bd4580e22,"Bitcoin Up or Down - February 13, 2:10AM-2:15AM ET",Yes,140,8,7,1,1,0.14285714285714285
0xa5783cfa595b9985e61db3d5a506257fa60ad7c5cfffeb4c0a3719d07f9da365,"Ethereum Up or Down - February 12, 9:45PM-10:00PM ET",No,356,60,20,40,8,0.13559322033898305
0xa5addfc62632dde01e1edff382541dc5a1ab34539e1eb6aee9df1f5d9f9c346b,"Bitcoin Up or Down - February 13, 2:15AM-2:20AM ET",No,14,18,11,7,4,0.23529411764705882
0xa829dd60bb243c19ef929980366672f0305ffed7d0c3feade77b293e3f482465,"Bitcoin Up or Down - February 12, 8:15PM-8:20PM ET",No,8,6,3,3,1,0.2
0xa850a7e4892fe623c725010071d942c6112d0c761d5dbf260d7d692e651ee058,"Bitcoin Up or Down - February 12, 10:45PM-11:00PM ET",Yes,36,25,13,12,2,0.08333333333333333
0xa894aecd71ba7ebde0b6fbb3e26eb2ae91c33b79bb6eba05acff1835a7f5ba33,"Solana Up or Down - February 13, 1AM ET",No,46,42,19,23,6,0.14634146341463414
0xac9a521dfc8233e78242695759d136824b1d451cb83eb6ff1790e49c00ed94f9,"Bitcoin Up or Down - February 12, 9:35PM-9:40PM ET",Yes,84,4,1,3,1,0.3333333333333333
0xae905bcbc5bb47b49886bb22bbc064f740c5f3ada6578266ed1e7a471e52461d,"Bitcoin Up or Down - February 12, 9:25PM-9:30PM ET",Yes,28,13,11,2,2,0.16666666666666666
0xaed4c50ed98c6d18b741916b4576035156b948b87b168dba9cba24168053979c,"Bitcoin Up or Down - February 13, 3:30AM-3:45AM ET",Yes,124,13,7,6,2,0.16666666666666666
0xb2474a1b8d559510feecad02c9be19b218de4208a39fe96e2ed173e39660d7e1,"Bitcoin Up or Down - February 13, 1:45AM-1:50AM ET",No,68,16,11,5,3,0.2
0xb58b35f22e86d3d05dbd6854eadbc6d3e093e1a4e3a81d983039479ceaa13104,"Bitcoin Up or Down - February 13, 2:55AM-3:00AM ET",No,166,9,4,5,1,0.125
0xb6d9148528fb13725c7525bf1297aff1239f0b1b70b632593a5fea9bae5a6208,"Bitcoin Up or Down - February 12, 9:45PM-10:00PM ET",No,298,31,13,18,4,0.13333333333333333
0xb7a04e484a4e0f4708f5b8ac0f26a08bdbc08c462cf25c1b15391252b5037320,"Bitcoin Up or Down - February 13, 3:00AM-3:15AM ET",No,128,12,1,11,2,0.18181818181818182
0xb7ad240be751fea752ee7fb0f6d246dbbe71c0997bb6c7dc25767b6e47e0c0bc,"Bitcoin Up or Down - February 12, 10:00PM-10:15PM ET",Yes,216,14,10,4,3,0.23076923076923078
0xbc70b6db4e87fb3fae8bd1845bd2b1f8553d9cc6173d9687f9026aa0b9807567,"Ethereum Up or Down - February 12, 11:30PM-11:45PM ET",Yes,6,24,15,9,8,0.34782608695652173
0xbcd12d2bc9bbca56f3cef3fe9dfe65118e9482119ad4c19d1c57477a0daa16de,"Bitcoin Up or Down - February 12, 11:30PM-11:35PM ET",No,108,17,4,13,1,0.0625
0xbce01fa6b9a5823661de8d84afe23a0a97da0e88f030032fc9cb999b8523793d,"Bitcoin Up or Down - February 13, 3:10AM-3:15AM ET",Yes,130,7,6,1,1,0.16666666666666666
0xbe75335b1bc42d4720b577bf2763336ab00f4a4bb0dec0ec0f7ac4b8e33a2f50,"Bitcoin Up or Down - February 13, 12:05AM-12:10AM ET",Yes,54,2,1,1,1,1.0
0xbf3355046565c23ff95968a426e54b422fd2b93484bc9bd3c0cc61511fa9c8ea,"Bitcoin Up or Down - February 13, 2:50AM-2:55AM ET",No,176,8,2,6,2,0.2857142857142857
0xc01a4ef72130fd754b36d893925912c3d2014c2e095e14ab370cbb85aa34d37b,"Bitcoin Up or Down - February 13, 12:15AM-12:20AM ET",Yes,18,13,8,5,2,0.16666666666666666
0xc13bae85f78998d908434139319f58c9de14ce1f02400f807ffd6b466c8d25dd,"Bitcoin Up or Down - February 13, 12:40AM-12:45AM ET",No,14,16,5,11,3,0.2
0xc2e6cdf13b697598d1e1d9827cf38afbfe5950dd624622bfcdc55f8dad39f807,"Bitcoin Up or Down - February 13, 2:00AM-2:05AM ET",No,4,22,12,10,7,0.3333333333333333
0xc2e8a403d55434e6c8d1213af10652a52dcac6968f16ec7e34d7e6d65b12ba32,"Bitcoin Up or Down - February 12, 9:40PM-9:45PM ET",No,22,11,6,5,3,0.3
0xc44edc8500693e958cab44208908b26362cfac3796117daa7b541c2a421d817c,"Bitcoin Up or Down - February 13, 1:15AM-1:20AM ET",No,2,18,14,4,7,0.4117647058823529
0xc552665f6a692b1abfe999a974226c6d9df066774bdfc72957d0b67d41d218fd,"Ethereum Up or Down - February 12, 9:00PM-9:15PM ET",No,68,27,14,13,10,0.38461538461538464
0xc76d1c928b516be86d8b00634c1ad8bf483609c420a568bd6725cd5571be05f4,"Bitcoin Up or Down - February 13, 1:35AM-1:40AM ET",No,4,25,17,8,5,0.20833333333333334
0xc81165f2f99b17728317265e57c8709f742c395d46cc3353b992f87a479845d0,"Bitcoin Up or Down - February 13, 1:45AM-2:00AM ET",No,44,19,7,12,4,0.2222222222222222
0xc86c42ec56f390a453d1c320d709fc69c6dcdaa79d45ae35a652028b3c88523f,"Ethereum Up or Down - February 12, 10:15PM-10:30PM ET",Yes,342,12,6,6,5,0.45454545454545453
0xc897aaf02197ed2143086c888bb7d0329017f8ee54db463c82e7e854da3217fa,"Ethereum Up or Down - February 12, 9PM ET",Yes,1246,45,33,12,7,0.1590909090909091
0xc924e3c068c9ccb6f79224604a2562a01a1c62e427e27747df8a6cc008693459,"Bitcoin Up or Down - February 13, 2:45AM-2:50AM ET",Yes,38,25,8,17,3,0.125
0xcf1110309a58a5c44155ac9ca2930e74d6a0252ef08201f3fd114bf00bc959a9,"XRP Up or Down - February 12, 8PM ET",No,300,10,4,6,2,0.2222222222222222
0xcfbaaea56ec780909ffcaf77490504bc872c8644eee7cc94ce4d37f51ba49faf,"Bitcoin Up or Down - February 13, 12:10AM-12:15AM ET",Yes,24,10,5,5,2,0.2222222222222222
0xd314dbd001cfaf9203f0fa8411cf9295377c21a7d7e3c4ef2cb08aec54ff7520,"Bitcoin Up or Down - February 12, 10:05PM-10:10PM ET",No,136,13,1,12,1,0.08333333333333333
0xd3ab2bbb1b4b8d452c5162c34feedb9465580eefcb3b03fbaf6c807438daff66,"Ethereum Up or Down - February 13, 2:30AM-2:45AM ET",No,406,10,3,7,1,0.1111111111111111
0xd49511dad85d1b592f80c4d8de3a010d3800a6f24ab3ca46d4af5ece3b5b0d59,"Bitcoin Up or Down - February 12, 9:00PM-9:05PM ET",No,60,17,6,11,2,0.125
0xd665b3366c3a79d929be357ab353cdf05e15bf2c54cf3c288ed4a6698d02b4b2,"Bitcoin Up or Down - February 12, 11PM ET",No,6,25,17,8,5,0.20833333333333334
0xd74333eeb92831621ccf8a4bdc9550d93127fc831eb59918bfa7fd05d28ee65e,"Ethereum Up or Down - February 12, 9:15PM-9:30PM ET",No,130,26,11,15,4,0.16
0xd758d709093209faf48178042a8bd9752efbbbc4e368dfc5fd0812abffe0a7e1,"XRP Up or Down - February 12, 10PM ET",Yes,112,26,11,15,8,0.32
0xd7c6cb3d28923df23d2c708504993e30ca2103c81f4f8c895c1a1f53857be30d,"Bitcoin Up or Down - February 13, 2:40AM-2:45AM ET",No,44,10,1,9,2,0.2222222222222222
0xda2e1823192310c9bb0b9b0abb649bacd3897da064a8f2e7392e1f25d7aae320,"Ethereum Up or Down - February 13, 1:15AM-1:30AM ET",No,10,44,16,28,7,0.16279069767441862
0xddb4da01e8b9298bca7b3159ff9224486ab9e7b8f0da2000860f7ed43ad66265,"Ethereum Up or Down - February 13, 3:15AM-3:30AM ET",Yes,10,20,11,9,5,0.2631578947368421
0xdf79e8e1f4a6cec69c15b52877d75741caf757ee3e3c8e322927e262962efe61,"Bitcoin Up or Down - February 13, 2:30AM-2:45AM ET",No,234,10,3,7,1,0.1111111111111111
0xe0f6987b426eb5a16294951c8f42ab86132946abab558b0d9fad94473cefacea,"XRP Up or Down - February 13, 2AM ET",Yes,120,27,12,15,4,0.15384615384615385
0xe6d67dce6d5b274b8666969df1796edfe888f4755294f08f8cfc7121858d8bcc,"Bitcoin Up or Down - February 13, 1:40AM-1:45AM ET",Yes,72,12,9,3,3,0.2727272727272727
0xe832f0df23b14a466b73396d9f184355ff7bf6c139927ba2e8b27e808f5ba67d,"Bitcoin Up or Down - February 12, 10:50PM-10:55PM ET",Yes,76,20,5,15,1,0.05263157894736842
0xea317149ff4c675068a8fb0f9e340752da2c058e7cfe43bb7b1c0a761f9661da,"Bitcoin Up or Down - February 12, 9:20PM-9:25PM ET",No,6,11,3,8,3,0.3
0xea5aa004d2907aacfffb62e601f160d5c1805f37f7565e3e9640b58cff70bb0c,"Bitcoin Up or Down - February 12, 9:15PM-9:30PM ET",No,136,20,9,11,3,0.15789473684210525
0xec1207aa28f6ed6434b443d6c413653fea3fa0fc8063323fdad493882268b920,"Bitcoin Up or Down - February 13, 12:25AM-12:30AM ET",Yes,122,12,6,6,1,0.09090909090909091
0xed86e2c42425345ee4581bb667b3c8b2f4c83ba27b604381ff1bd0776bbcd6f9,"Bitcoin Up or Down - February 12, 10:15PM-10:30PM ET",Yes,32,23,16,7,7,0.3181818181818182
0xefd17ef259c382a68886a469533885b38d93cf43c6105ee85fa05639aadcc192,"Bitcoin Up or Down - February 12, 8:35PM-8:40PM ET",No,10,14,6,8,5,0.38461538461538464
0xf06d986f674ebe514bb1139a162ef9c0c1dc4ddfa3d05ef57a494e499f8132a3,"Bitcoin Up or Down - February 12, 9:55PM-10:00PM ET",Yes,142,9,6,3,1,0.125
0xf1b8d60c2a5045cc0d043bd8c1b54348ba71883704fefcde160ba4c23eba0e9f,"Bitcoin Up or Down - February 12, 8:15PM-8:30PM ET",Yes,106,16,11,5,2,0.13333333333333333
0xf34576c0d2ef1daa05a7be97aaa70c04e2fcc88c162f77150cd60e50a3c67428,"Ethereum Up or Down - February 13, 2:00AM-2:15AM ET",Yes,32,25,15,10,5,0.20833333333333334
0xf3f599b3b2e829908d8cc5a9b3629f98ee434bf583085412871b7384820a6916,"Bitcoin Up or Down - February 12, 11:35PM-11:40PM ET",Yes,20,12,6,6,2,0.18181818181818182
0xf5e7d15eb4d7593a2a5d10f5425f7e4e343b7e3c37e80cc20500e358aced1093,"Bitcoin Up or Down - February 12, 11:00PM-11:15PM ET",No,4,24,18,6,7,0.30434782608695654
0xf72423da2acc91005acbfe521d4ff030f8f4d2574d638c8bf62bbc953212a7a5,"Ethereum Up or Down - February 12, 11:15PM-11:30PM ET",Yes,154,20,9,11,5,0.2631578947368421
0xf7a2fbf9cd8e750086069f31827a4f601f10d3a4522d56c70f92acab813cad41,"Solana Up or Down - February 13, 3AM ET",Yes,4,16,7,9,3,0.2
0xf89c41e9f05f20ff5306ea62480a106c89442bde40eca2507df7b72505374391,"Bitcoin Up or Down - February 13, 3:05AM-3:10AM ET",Yes,30,10,7,3,3,0.3333333333333333
0xfa75b0896310f9f9fdd48c01241a236e996453ffeebdb5f8d8938342a9be8f4a,"Bitcoin Up or Down - February 12, 9:00PM-9:15PM ET",No,20,25,10,15,10,0.4166666666666667
0xfb1f2e26eba99fb4f059276c905d195df06f763543897fe01fe6f77ab403d618,"Bitcoin Up or Down - February 12, 10:35PM-10:40PM ET",Yes,104,12,5,7,1,0.09090909090909091
0xfb79e7dea0f13ee58f7b0c1cf36977d63598b10eb14fe7d4ddffb64e2b2d4e23,"Bitcoin Up or Down - February 12, 8:20PM-8:25PM ET",Yes,66,12,7,5,2,0.18181818181818182
0xfba4e08d2dcbcd6809aa9cd72c0089a8135a615a291e53c667f5cb778727e2af,"Solana Up or Down - February 12, 11PM ET",Yes,38,14,9,5,4,0.3076923076923077
0xfc14521fdd04bf4647a906cd4ac839a16509ad7a58c33becf602c6b7ed1fb99d,"Bitcoin Up or Down - February 12, 10:15PM-10:20PM ET",Yes,36,31,15,16,6,0.2
0xfcdf3e563a6d8da0f629ff055efb7dd938c3304eba289a65a0c5822ad990411a,"Bitcoin Up or Down - February 13, 2:20AM-2:25AM ET",No,76,16,4,12,2,0.13333333333333333
0xfeb804da3b1e167beb8ad990c05506cb5f6cbfa3235f58312c88096e81fc2562,"Bitcoin Up or Down - February 13, 12:30AM-12:45AM ET",Yes,48,11,4,7,3,0.3
